Date,Time,X,Y,Z,Magnitud,Dias Restantes,Gas_%
2025-07-05,12:00:00,65416,65356,65388,113253.0368,13.65946950614168,41.76789333333339
2025-07-05,12:10:00,65405,65331,65450,113268.0718,13.82336742520111,42.269060000000174
2025-07-05,12:20:00,65420,65341,65448,113281.3461,13.968071791477692,42.711536666666504
2025-07-05,12:30:00,65426,65350,65369,113244.3824,13.565127095053716,41.47941333333341
2025-07-05,12:40:00,65426,65359,65461,113302.7046,14.200902766152145,43.42348666666658
2025-07-05,12:50:00,65411,65326,65373,113224.1773,13.34486943995641,40.805909999999855
2025-07-05,13:00:00,65412,65336,65389,113239.7632,13.514772770629419,41.32544000000004
2025-07-05,13:10:00,65420,65347,65425,113271.5208,13.86096529170159,42.384026666666614
2025-07-05,13:20:00,65425,65321,65417,113254.7904,13.678585661170741,41.8263466666666
2025-07-05,13:30:00,65410,65320,65414,113243.8161,13.558953806622437,41.46053666666655
2025-07-05,13:40:00,65420,65355,65478,113306.7558,14.24506527028874,43.55852666666664
2025-07-05,13:50:00,65425,65348,65384,113251.3099,13.64064441027037,41.710329999999765
2025-07-05,14:00:00,65410,65359,65374,113243.2199,13.552454575538754,41.44066333333322
2025-07-05,14:10:00,65431,65355,65476,113311.9515,14.301704074283174,43.73171666666652
2025-07-05,14:20:00,65426,65358,65467,113305.5944,14.232404741975127,43.51981333333339
2025-07-05,14:30:00,65402,65353,65418,113260.5445,13.741311634969248,42.01815000000012
2025-07-05,14:40:00,65414,65343,65385,113242.6478,13.546218060773715,41.42159333333353
2025-07-05,14:50:00,65404,65352,65399,113250.1493,13.627992602830503,41.671643333333485
2025-07-05,15:00:00,65414,65339,65446,113275.5721,13.905128885947441,42.51907000000016
2025-07-05,15:10:00,65402,65336,65425,113254.7797,13.678469019485757,41.825989999999976
2025-07-05,15:20:00,65426,65353,65436,113284.8012,14.00573615463986,42.82670666666672
2025-07-05,15:30:00,65425,65321,65436,113265.7661,13.798232777247856,42.19220333333312
2025-07-05,15:40:00,65408,65359,65380,113245.5286,13.577621926768138,41.51762000000017
2025-07-05,15:50:00,65400,65344,65424,113257.6625,13.709894687664372,41.922083333333525
2025-07-05,16:00:00,65410,65359,65405,113261.1187,13.747571042027735,42.03729000000021
2025-07-05,16:10:00,65424,65358,65398,113264.5856,13.785364038076086,42.15285333333353
2025-07-05,16:20:00,65402,65356,65471,113292.8955,14.093972864067325,43.09651666666662
2025-07-05,16:30:00,65411,65349,65465,113290.5863,14.06880006229197,43.01954333333318
2025-07-05,16:40:00,65401,65331,65382,113226.4823,13.369996457145179,40.882743333333444
2025-07-05,16:50:00,65404,65336,65437,113262.8672,13.766631601487209,42.09557333333311
2025-07-05,17:00:00,65424,65331,65425,113264.6015,13.785537365439756,42.15338333333348
2025-07-05,17:10:00,65415,65343,65446,113278.4569,13.936576356310095,42.61523000000015
2025-07-05,17:20:00,65407,65350,65384,113242.0664,13.53988016585235,41.40221333333321
2025-07-05,17:30:00,65416,65342,65464,113288.8579,14.049958614782755,42.961930000000095
2025-07-05,17:40:00,65421,65335,65433,113269.7972,13.84217616943419,42.326573333333364
2025-07-05,17:50:00,65407,65344,65445,113273.8364,13.886207860466085,42.46121333333333
2025-07-05,18:00:00,65424,65331,65378,113237.4594,13.489658834751262,41.2486466666669
2025-07-05,18:10:00,65426,65345,65468,113298.674,14.15696482451194,43.289133333333304
2025-07-05,18:20:00,65412,65345,65410,113257.0831,13.7035785949272,41.90277000000012
2025-07-05,18:30:00,65431,65329,65379,113240.9274,13.527463822000806,41.36424666666668
2025-07-05,18:40:00,65406,65336,65386,113234.5651,13.458107804014078,41.15217000000024
2025-07-05,18:50:00,65425,65340,65449,113284.2347,13.999560685990224,42.80782333333336
2025-07-05,19:00:00,65425,65326,65377,113234.5752,13.458217905043835,41.15250666666689
2025-07-05,19:10:00,65414,65326,65372,113225.3331,13.357468922154622,40.84443666666678
2025-07-05,19:20:00,65418,65327,65477,113288.8749,14.050143933347622,42.96249666666651
2025-07-05,19:30:00,65426,65342,65456,113290.01,14.062517762940187,43.00033333333316
2025-07-05,19:40:00,65417,65350,65457,113290.005,14.062463257480015,43.00016666666682
2025-07-05,19:50:00,65419,65358,65462,113298.6636,14.156851453154566,43.28878666666666
2025-07-05,20:00:00,65417,65358,65380,113250.1499,13.627999143485729,41.67166333333346
2025-07-05,20:10:00,65413,65350,65387,113247.2642,13.596541862140235,41.5754733333335
2025-07-05,20:20:00,65402,65353,65366,113230.5178,13.413987814136458,41.01726000000005
2025-07-05,20:30:00,65404,65359,65453,113285.3799,14.012044616612549,42.845996666666665
2025-07-05,20:40:00,65422,65342,65471,113296.3675,14.131821455685104,43.21224999999977
2025-07-05,20:50:00,65406,65334,65476,113285.4049,14.012317143913881,42.846829999999805
2025-07-05,21:00:00,65403,65348,65449,113276.1454,13.91137848202293,42.5381799999998
2025-07-05,21:10:00,65424,65332,65445,113276.7321,13.917774152732084,42.557736666666464
2025-07-05,21:20:00,65400,65335,65472,113280.2057,13.955640186097341,42.67352333333353
2025-07-05,21:30:00,65409,65321,65418,113246.126,13.584134239162276,41.53753333333346
2025-07-05,21:40:00,65402,65353,65393,113246.1066,13.583922757976344,41.53688666666664
2025-07-05,21:50:00,65426,65332,65376,113238.0372,13.49595748574111,41.26790666666687
2025-07-05,22:00:00,65417,65351,65459,113291.7374,14.081348309357463,43.05791333333327
2025-07-05,22:10:00,65402,65358,65409,113258.2317,13.71609958926253,41.941056666666796
2025-07-05,22:20:00,65419,65348,65425,113271.5202,13.860958751046363,42.384006666666636
2025-07-05,22:30:00,65416,65348,65425,113269.7876,13.842071518950402,42.326253333333206
2025-07-05,22:40:00,65420,65335,65419,113261.1327,13.747723657316469,42.03775666666673
2025-07-05,22:50:00,65411,65329,65393,113237.4567,13.489629401802583,41.24855666666651
2025-07-05,23:00:00,65424,65358,65447,113292.8848,14.093856222382342,43.09616
2025-07-05,23:10:00,65404,65320,65457,113265.1953,13.792010433902533,42.17317666666689
2025-07-05,23:20:00,65416,65322,65408,113244.9699,13.571531486636452,41.49899666666655
2025-07-05,23:30:00,65413,65349,65477,113298.6756,14.156982266259263,43.289186666666744
2025-07-05,23:40:00,65403,65337,65425,113255.9341,13.691053240154998,41.864469999999955
2025-07-05,23:50:00,65404,65344,65411,113252.4634,13.653218819956773,41.748779999999776
2025-08-05,00:00:00,65400,65334,65436,113258.8259,13.722577018162017,41.9608633333332
2025-08-05,00:10:00,65414,65343,65431,113269.2138,13.835816472328784,42.30712666666659
2025-08-05,00:20:00,65411,65356,65424,113270.9382,13.854614315469926,42.3646066666668
2025-08-05,00:30:00,65404,65325,65402,113236.3036,13.47705935255305,41.210119999999975
2025-08-05,00:40:00,65423,65343,65374,113241.4962,13.533664363162094,41.383206666666474
2025-08-05,00:50:00,65429,65332,65461,113288.86,14.049981507076046,42.96200000000002
2025-08-05,01:00:00,65424,65326,65415,113255.9415,13.691133908236237,41.864716666666695
2025-08-05,01:10:00,65403,65327,65383,113225.907,13.363725058885496,40.863566666666884
2025-08-05,01:20:00,65428,65329,65470,113291.7575,14.081567421307883,43.058583333333566
2025-08-05,01:30:00,65401,65345,65404,113247.2651,13.596551673123075,41.57550333333347
2025-08-05,01:40:00,65416,65322,65369,113222.4488,13.326026902337937,40.74829333333327
2025-08-05,01:50:00,65404,65324,65417,113244.3909,13.565219754336148,41.47969666666661
2025-08-05,02:00:00,65414,65342,65412,113257.6625,13.709894687664372,41.922083333333525
2025-08-05,02:10:00,65408,65354,65383,113244.375,13.565046426972478,41.479166666666664
2025-08-05,02:20:00,65425,65354,65413,113271.5168,13.860921687333358,42.383893333333255
2025-08-05,02:30:00,65417,65336,65451,113278.463,13.936642852971623,42.61543333333345
2025-08-05,02:40:00,65402,65351,65462,113284.8103,14.00583535457752,42.82700999999991
2025-08-05,02:50:00,65405,65332,65474,113282.5182,13.980848961476447,42.75060666666686
2025-08-05,03:00:00,65424,65328,65431,113266.3371,13.804457300811851,42.21123666666681
2025-08-05,03:10:00,65413,65356,65461,113293.4677,14.100210468941617,43.11558999999979
2025-08-05,03:20:00,65410,65322,65455,113268.6577,13.82975437503652,42.28858999999987
2025-08-05,03:30:00,65428,65328,65430,113268.0699,13.823346713126172,42.268996666666744
2025-08-05,03:40:00,65424,65353,65439,113285.379,14.01203480562971,42.8459666666667
2025-08-05,03:50:00,65409,65328,65442,113264.0288,13.779294310019335,42.13429333333333
2025-08-05,04:00:00,65407,65344,65368,113229.3664,13.40143629674335,40.97887999999997
2025-08-05,04:10:00,65410,65353,65451,113284.2271,13.999477837690629,42.80757000000012
2025-08-05,04:20:00,65427,65334,65401,113254.2038,13.672191080570844,41.80679333333343
2025-08-05,04:30:00,65407,65324,65411,113242.6578,13.54632707169422,41.4219266666667
2025-08-05,04:40:00,65425,65337,65433,113273.2611,13.879936462206404,42.44203666666678
2025-08-05,04:50:00,65404,65332,65391,113233.9892,13.451829865099008,41.13297333333321
2025-08-05,05:00:00,65404,65332,65444,113264.6043,13.785567888497532,42.153476666666876
2025-08-05,05:10:00,65417,65359,65408,113266.8938,13.810525938759344,42.22979333333351
2025-08-05,05:20:00,65431,65348,65478,113309.07,14.270292577524426,43.6356666666669
2025-08-05,05:30:00,65425,65322,65419,113256.5224,13.697466352611476,41.884080000000054
2025-08-05,05:40:00,65407,65353,65403,113254.7688,13.678350197582414,41.82562666666684
2025-08-05,05:50:00,65426,65332,65472,113293.4883,14.100435031438007,43.11627666666658
2025-08-05,06:00:00,65400,65325,65451,113262.3019,13.760469214148188,42.0767300000002
2025-08-05,06:10:00,65418,65335,65403,113250.7367,13.634395904303982,41.691223333333134
2025-08-05,06:20:00,65427,65352,65422,113276.7157,13.91759537482244,42.55719000000002
2025-08-05,06:30:00,65426,65332,65470,113292.3325,14.087835549239953,43.07775000000014
2025-08-05,06:40:00,65412,65344,65416,113259.9715,13.735065309221216,41.99904999999999
2025-08-05,06:50:00,65409,65355,65426,113270.3614,13.848326565572016,42.34537999999981
2025-08-05,07:00:00,65426,65357,65423,113279.6003,13.94904066496674,42.65334333333352
2025-08-05,07:10:00,65406,65324,65470,113276.1701,13.911647738996807,42.53900333333343
2025-08-05,07:20:00,65412,65350,65386,113246.1092,13.583951100815765,41.53697333333354
2025-08-05,07:30:00,65409,65329,65395,113237.4565,13.489627221584227,41.24855000000001
2025-08-05,07:40:00,65410,65349,65402,113253.6159,13.665782328551238,41.78719666666681
2025-08-05,07:50:00,65430,65337,65463,113293.481,14.100355453466026,43.11603333333333
2025-08-05,08:00:00,65401,65333,65440,113261.1376,13.747777072667542,42.037920000000064
2025-08-05,08:10:00,65428,65331,65402,113253.6284,13.665918592201903,41.787613333333375
2025-08-05,08:20:00,65401,65351,65376,113234.5591,13.45804239746165,41.151969999999956
2025-08-05,08:30:00,65413,65346,65476,113296.3674,14.131820365576003,43.21224666666676
2025-08-05,08:40:00,65408,65336,65467,113282.5117,13.980778104378052,42.750390000000095
2025-08-05,08:50:00,65430,65353,65423,113279.6029,13.949069007806003,42.653429999999936
2025-08-05,09:00:00,65431,65343,65472,113302.7193,14.201063012205363,43.42397666666657
2025-08-05,09:10:00,65402,65325,65446,113260.5675,13.741562360086546,42.018916666666826
2025-08-05,09:20:00,65429,65326,65437,113271.5378,13.861150610266614,42.38459333333351
2025-08-05,09:30:00,65408,65351,65461,113287.6965,14.037298086469143,42.923216666666846
2025-08-05,09:40:00,65430,65347,65423,113276.1415,13.911335967763955,42.538049999999934
2025-08-05,09:50:00,65414,65349,65400,113254.7712,13.678376360203321,41.82570666666676
2025-08-05,10:00:00,65428,65341,65431,113276.1459,13.911383932569057,42.53819666666677
2025-08-05,10:10:00,65419,65351,65463,113295.2035,14.11913258453223,43.17345000000011
2025-08-05,10:20:00,65417,65323,65454,113272.699,13.873808958361712,42.42329999999978
2025-08-05,10:30:00,65431,65336,65375,113242.6566,13.546313990383764,41.42188666666674
2025-08-05,10:40:00,65421,65336,65373,113235.7243,13.470744349925134,41.190810000000056
2025-08-05,10:50:00,65421,65320,65385,113233.422,13.445646765685046,41.114066666666865
2025-08-05,11:00:00,65425,65337,65413,113261.7092,13.754008136886608,42.056973333333254
2025-08-05,11:10:00,65413,65348,65439,113276.1422,13.911343598528438,42.5380733333334
2025-08-05,11:20:00,65403,65354,65415,113259.9662,13.73500753343327,41.99887333333317
2025-08-05,11:30:00,65428,65331,65370,113235.152,13.464505654941584,41.17173333333339
2025-08-05,11:40:00,65428,65330,65396,113249.5868,13.621860738549099,41.65289333333349
2025-08-05,11:50:00,65405,65334,65395,113238.0307,13.495886628642713,41.2676900000001
2025-08-05,12:00:00,65418,65330,65421,113258.2486,13.716283817718297,41.941620000000206
2025-08-05,12:10:00,65422,65345,65461,113292.3194,14.0876927449339,43.0773133333331
2025-08-05,12:20:00,65413,65353,65392,113251.8823,13.646884195363178,41.729409999999916
2025-08-05,12:30:00,65403,65336,65462,113276.7353,13.917809036226732,42.557843333333345
2025-08-05,12:40:00,65412,65358,65378,113246.1072,13.583929298631569,41.53690666666662
2025-08-05,12:50:00,65422,65348,65392,113254.1957,13.672102781725123,41.80652333333322
2025-08-05,13:00:00,65410,65351,65365,113233.4073,13.445486519631828,41.11357666666687
2025-08-05,13:10:00,65414,65333,65447,113272.6891,13.87370103755047,42.42297000000011
2025-08-05,13:20:00,65421,65330,65390,113242.078,13.540006618520174,41.4025999999998
2025-08-05,13:30:00,65402,65336,65471,113281.3592,13.968214595783744,42.71197333333354
2025-08-05,13:40:00,65423,65347,65456,113291.1615,14.075070370442553,43.03871666666673
2025-08-05,13:50:00,65420,65335,65464,113287.1304,14.03112697825622,42.904346666666484
2025-08-05,14:00:00,65426,65339,65369,113238.0349,13.495932413229301,41.267829999999954
2025-08-05,14:10:00,65418,65324,65366,113223.0262,13.332321192890914,40.76753999999976
2025-08-05,14:20:00,65426,65320,65421,113257.1018,13.70378244534865,41.90339333333347
2025-08-05,14:30:00,65427,65357,65378,113254.1949,13.672094060851542,41.806496666666746
2025-08-05,14:40:00,65401,65354,65427,113265.7426,13.797976601584589,42.19141999999992
2025-08-05,14:50:00,65416,65344,65387,113245.5348,13.577689513538763,41.517826666666465
2025-08-05,15:00:00,65411,65337,65378,113233.411,13.445526853672288,41.11369999999976
2025-08-05,15:10:00,65411,65335,65390,113239.186,13.508480660294795,41.30620000000005
2025-08-05,15:20:00,65407,65344,65380,113236.2945,13.47696015261539,41.20981666666679
2025-08-05,15:30:00,65428,65327,65442,113274.4255,13.892629693796147,42.48084999999992
2025-08-05,15:40:00,65426,65326,65366,113228.8025,13.395289170933134,40.96008333333351
2025-08-05,15:50:00,65428,65343,65423,113272.6788,13.873588756302194,42.422626666666474
2025-08-05,16:00:00,65425,65322,65383,113235.732,13.470828288333985,41.191066666666785
2025-08-05,16:10:00,65413,65334,65388,113238.6094,13.502195090615404,41.28698000000004
2025-08-05,16:20:00,65429,65333,65434,113273.842,13.886268906581643,42.46140000000014
2025-08-05,16:30:00,65416,65339,65463,113286.5497,14.024796714099494,42.88499000000011
2025-08-05,16:40:00,65408,65357,65411,113262.2745,13.760170524225787,42.07581666666665
2025-08-05,16:50:00,65424,65341,65365,113235.7244,13.470745440034394,41.19081333333355
2025-08-05,17:00:00,65423,65327,65374,113232.2645,13.43302875163041,41.07548333333349
2025-08-05,17:10:00,65431,65332,65444,113280.1974,13.955549707033265,42.67324666666682
2025-08-05,17:20:00,65407,65340,65381,113234.5637,13.458092542485108,41.15212333333329
2025-08-05,17:30:00,65429,65337,65473,113298.682,14.157052033248403,43.28940000000002
2025-08-05,17:40:00,65414,65350,65401,113255.9257,13.690961670981823,41.864190000000235
2025-08-05,17:50:00,65431,65330,65408,113258.2497,13.716295808919494,41.941656666666674
2025-08-05,18:00:00,65424,65352,65465,113299.8231,14.169491269393239,43.32743666666647
2025-08-05,18:10:00,65408,65327,65374,113223.5986,13.338560977983722,40.78661999999992
2025-08-05,18:20:00,65421,65343,65404,113257.6625,13.709894687664372,41.922083333333525
2025-08-05,18:30:00,65416,65331,65409,113250.7391,13.63442206692505,41.69130333333354
2025-08-05,18:40:00,65431,65334,65443,113280.7732,13.961826555838917,42.69243999999986
2025-08-05,18:50:00,65421,65341,65455,113285.968,14.018455548850511,42.86559999999978
2025-08-05,19:00:00,65419,65352,65437,113280.7593,13.961675030659443,42.69197666666684
2025-08-05,19:10:00,65407,65351,65477,113296.3653,14.13179747328271,43.21217666666683
2025-08-05,19:20:00,65427,65352,65365,113243.8054,13.55883716493745,41.460179999999916
2025-08-05,19:30:00,65400,65352,65468,113287.6998,14.037334060072892,42.92332666666674
2025-08-05,19:40:00,65412,65349,65396,113251.3062,13.640604076229911,41.71020666666688
2025-08-05,19:50:00,65412,65345,65385,113242.65,13.546242043176111,41.421666666666475
2025-08-05,20:00:00,65406,65321,65401,113234.5737,13.45820155340561,41.15245666666645
2025-08-05,20:10:00,65406,65345,65409,113253.0403,13.659507659963783,41.76800999999978
2025-08-05,20:20:00,65425,65334,65461,113287.7076,14.03741908859084,42.92358666666647
2025-08-05,20:30:00,65409,65359,65438,113279.601,13.949048295731064,42.6533666666665
2025-08-05,20:40:00,65428,65322,65369,113229.3824,13.401610714216279,40.97941333333341
2025-08-05,20:50:00,65408,65325,65436,113258.2544,13.716347044052213,41.94181333333351
2025-08-05,21:00:00,65406,65350,65395,113247.8404,13.60282307138276,41.59468000000003
2025-08-05,21:10:00,65408,65331,65371,113224.1744,13.344837826789535,40.805813333333454
2025-08-05,21:20:00,65407,65347,65425,113264.0132,13.779124252983276,42.13377333333337
2025-08-05,21:30:00,65419,65326,65438,113266.3396,13.804484553542016,42.21132000000022
2025-08-05,21:40:00,65419,65335,65367,113230.528,13.414099005275474,41.01760000000019
2025-08-05,21:50:00,65405,65341,65389,113238.6048,13.502144945591944,41.2868266666667
2025-08-05,22:00:00,65430,65322,65404,113250.7475,13.634513636098225,41.691583333333256
2025-08-05,22:10:00,65427,65333,65438,113274.9975,13.898865118452083,42.499916666666586
2025-08-05,22:20:00,65417,65331,65450,113275.0014,13.898907632711058,42.50004666666646
2025-08-05,22:30:00,65411,65332,65388,113236.3002,13.477022288840045,41.210006666666594
2025-08-05,22:40:00,65412,65338,65418,113257.6651,13.709923030503637,41.922169999999944
2025-08-05,22:50:00,65413,65355,65408,113262.2755,13.760181425317887,42.075850000000116
2025-08-05,23:00:00,65407,65348,65416,113259.3917,13.728744856047172,41.9797233333331
2025-08-05,23:10:00,65422,65351,65414,113268.6306,13.829458955441893,42.2876866666668
2025-08-05,23:20:00,65411,65337,65433,113265.1755,13.791794592279729,42.17251666666659
2025-08-05,23:30:00,65417,65338,65385,113241.4957,13.533658912616122,41.38318999999998
2025-08-05,23:40:00,65404,65351,65419,113261.123,13.74761791672358,42.03743333333356
2025-08-05,23:50:00,65408,65322,65391,113230.5305,13.41412625800548,41.01768333333312
2025-09-05,00:00:00,65409,65354,65424,113268.6293,13.829444784022183,42.28764333333335
2025-09-05,00:10:00,65428,65334,65460,113288.8624,14.050007669696956,42.96207999999994
2025-09-05,00:20:00,65406,65331,65412,113246.6959,13.590346771524919,41.5565300000002
2025-09-05,00:30:00,65429,65340,65394,113254.7786,13.678457028284559,41.8259533333335
2025-09-05,00:40:00,65425,65343,65383,113247.8475,13.602900469136383,41.594916666666784
2025-09-05,00:50:00,65404,65323,65455,113265.7696,13.798270931070117,42.19231999999999
2025-09-05,01:00:00,65411,65339,65423,113260.5526,13.74139993381481,42.01841999999984
2025-09-05,01:10:00,65423,65351,65468,113300.4023,14.175805181912056,43.346743333333386
2025-09-05,01:20:00,65403,65353,65463,113287.1192,14.031004886025265,42.90397333333337
2025-09-05,01:30:00,65401,65334,65397,113236.8755,13.483293687099728,41.229183333333154
2025-09-05,01:40:00,65403,65325,65402,113235.726,13.470762881781557,41.1908666666665
2025-09-05,01:50:00,65409,65331,65366,113221.8654,13.319667205232532,40.728846666666506
2025-09-05,02:00:00,65412,65337,65403,113248.4248,13.609193669580103,41.61415999999978
2025-09-05,02:10:00,65420,65334,65460,113284.2423,13.999643534289817,42.8080766666666
2025-09-05,02:20:00,65402,65345,65371,113228.7873,13.395123474333788,40.95957666666654
2025-09-05,02:30:00,65403,65349,65450,113277.3001,13.923965973019786,42.57666999999977
2025-09-05,02:40:00,65409,65333,65441,113266.335,13.804434408518558,42.211166666666884
2025-09-05,02:50:00,65401,65356,65432,113269.7849,13.842042086001879,42.32616333333329
2025-09-05,03:00:00,65405,65333,65466,113278.4713,13.936733332035699,42.615710000000156
2025-09-05,03:10:00,65424,65339,65365,113234.5703,13.458164489692763,41.152343333333555
2025-09-05,03:20:00,65406,65325,65380,113224.7537,13.351152829417448,40.825123333333366
2025-09-05,03:30:00,65426,65344,65391,113253.6211,13.665839014229924,41.78737000000013
2025-09-05,03:40:00,65401,65354,65464,113287.1194,14.03100706624362,42.90397999999986
2025-09-05,03:50:00,65404,65320,65403,113233.9968,13.4519127133986,41.13322666666645
2025-09-05,04:00:00,65411,65355,65408,113261.1205,13.747590663993417,42.03735000000015
2025-09-05,04:10:00,65422,65350,65374,113244.9578,13.571399583422657,41.49859333333346
2025-09-05,04:20:00,65409,65322,65377,113223.0237,13.332293940160909,40.76745666666684
2025-09-05,04:30:00,65415,65329,65456,113276.1599,13.91153654785779,42.53866333333329
2025-09-05,04:40:00,65409,65331,65457,113274.4265,13.892640594888245,42.48088333333338
2025-09-05,04:50:00,65408,65320,65368,113216.0955,13.25676899417961,40.53651666666653
2025-09-05,05:00:00,65419,65327,65406,113248.4319,13.609271067333728,41.61439666666653
2025-09-05,05:10:00,65411,65320,65420,113247.8597,13.603033462459436,41.59532333333336
2025-09-05,05:20:00,65431,65339,65391,113253.6249,13.66588043837964,41.787496666666506
2025-09-05,05:30:00,65424,65356,65410,113270.3607,13.848318934807692,42.345356666666824
2025-09-05,05:40:00,65404,65331,65400,113238.6099,13.502200541161372,41.286996666666525
2025-09-05,05:50:00,65416,65347,65474,113297.5205,14.144390414825537,43.25068333333329
